segment_type,segment_value,applications,baseline_revenue,optimal_revenue,incremental_revenue,lift_percentage
FICO Group,fair,36475,963487.125,1614401.1779867047,650914.0529867047,67.55814749332585
FICO Group,poor,28475,752167.125,768616.5207258856,16449.39572588564,2.186933618760012
FICO Group,good,27760,733280.4,2038691.7292910968,1305411.329291097,178.02348587131155
FICO Group,very_good,5102,134769.33,786800.2833409647,652030.9533409647,483.81256576771943
FICO Group,excellent,2188,57796.02,373639.6218538162,315843.6018538162,546.4798473213488
Income Quartile,Q1,25003,660454.245,1028535.7801794446,368081.5351794446,55.73157231799526
Income Quartile,Q2,24997,660295.755,1067992.7546877393,407696.9996877393,61.74460408089997
Income Quartile,Q3,25006,660533.49,1434898.0807838382,774364.5907838382,117.23320656819962
Income Quartile,Q4,24994,660216.51,2050722.7175474465,1390506.2075474465,210.61366786290253
Loan Bracket,Small,47562,1256350.23,2735877.1093819547,1479526.8793819547,117.76388813029905
Loan Bracket,Medium,23792,628465.6799999999,1332990.062908434,704524.3829084341,112.10228423426942
Loan Bracket,Large,28646,756684.09,1513282.16090808,756598.07090808,99.98863209983442
